Rank,Title,Theaters,Total Gross,Release Date,Distributor,Release Month
44,The Pope's Exorcist,"3,178",20009380,2023-04-14 0:00:00,Screen Gems,April
45,Gran Turismo,"3,856",18541753,2023-08-25 0:00:00,Sony Pictures Entertainment (SPE),August
46,The Blackening,"1,775",17707207,2023-06-16 0:00:00,Lionsgate,June
47,Book Club: The Next Chapter,"3,513",17556340,2023-05-12 0:00:00,Focus Features,May
48,Pathaan,697,17487476,2023-01-25 0:00:00,Yash Raj Films USA Inc.,January
28,Haunted Mansion,"3,740",62291150,2023-07-28 0:00:00,Walt Disney Studios Motion Pictures,July
50,Renfield,"3,378",17152625,2023-04-14 0:00:00,Universal Pictures,April
51,The Covenant,"2,631",16938039,2023-04-21 0:00:00,Metro-Goldwyn-Mayer (MGM),April
52,Strays,"3,232",16840900,2023-08-18 0:00:00,Universal Pictures,August
53,Champions,"3,039",16271910,2023-03-10 0:00:00,Focus Features,March
54,"Ruby Gillman, Teenage Kraken","3,408",15753600,2023-06-30 0:00:00,DreamWorks,June
55,Titanic25 Year Anniversary,"2,464",15033795,2023-02-10 0:00:00,Paramount Pictures,February
56,The Last Voyage of the Demeter,"2,715",13309285,2023-08-11 0:00:00,Universal Pictures,August
57,Joy Ride,"2,820",12897789,2023-07-07 0:00:00,Lionsgate,July
58,The Whale,"1,721",17463630,2023-12-09 0:00:00,A24,December
59,About My Father,"2,464",12089391,2023-05-26 0:00:00,Lionsgate,May
60,His Only Son,"1,930",12084084,2023-03-31 0:00:00,Angel Studios,March
61,Suzume,"2,170",10760901,2023-04-14 0:00:00,Crunchyroll,April
62,Past Lives,906,10724951,2023-06-02 0:00:00,A24,June
63,The Machine,"2,409",10458331,2023-05-26 0:00:00,Sony Pictures Entertainment (SPE),May
64,Whitney Houston: I Wanna Dance with Somebody,"3,625",23708080,2023-12-23 0:00:00,TriStar Pictures,December
65,Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,"1,774",10117806,2023-03-03 0:00:00,Crunchyroll,March
66,House Party,"1,400",9002247,2023-01-13 0:00:00,Warner Bros.,January
67,Everything Everywhere All at Once,"2,220",77191785,2023-03-25 0:00:00,A24,March
68,Beau Is Afraid,"2,125",8176562,2023-04-14 0:00:00,A24,April
69,Sisu,"1,006",7265622,2023-04-28 0:00:00,Lionsgate,April
70,Star Wars: Episode VI - Return of the Jedi2023 Re-release,475,7259924,2023-04-28 0:00:00,-,April
71,Operation Fortune: Ruse de Guerre,"2,168",6496125,2023-03-03 0:00:00,Lionsgate,March
72,BTS: Yet to Come in Cinemas,"1,210",8093270,2023-02-01 0:00:00,Trafalgar Releasing,February
73,Babylon,"3,351",15351455,2023-12-23 0:00:00,Paramount Pictures,December
74,Love Again,"2,703",6230837,2023-05-05 0:00:00,Screen Gems,May
75,The Fabelmans,"1,962",17348945,2023-11-11 0:00:00,Universal Pictures,November
76,The Chosen Season 3 Finale,"1,979",5525069,2023-02-02 0:00:00,Fathom Events,February
77,Nefarious,933,5433685,2023-04-14 0:00:00,Soli Deo Gloria Releasing,April
78,Big George Foreman,"3,054",5426772,2023-04-28 0:00:00,Sony Pictures Entertainment (SPE),April
79,Women Talking,707,5456531,2023-12-23 0:00:00,United Artists Releasing,December
80,Infinity Pool,"1,835",5078400,2023-01-27 0:00:00,Neon,January
81,You Hurt My Feelings,912,4830788,2023-05-26 0:00:00,A24,May
82,Kandahar,"2,105",4813132,2023-05-26 0:00:00,Open Road Films (II),May
83,Hypnotic,"2,118",4500169,2023-05-12 0:00:00,Ketchup Entertainment,May
